timestamp_s,left_knee_ohms,right_knee_ohms
188.302,,15.07
188.312,,15.07
188.322,,15.09
188.332,,15.07
188.342,,15.07
188.352,,15.09
188.362,,15.09
188.372,,15.13
188.353,11.48,
188.363,11.45,
188.373,11.41,
188.383,11.43,
188.393,11.43,
188.403,11.43,
188.413,11.38,
188.423,11.36,
188.566,11.2,
188.576,11.18,
188.586,11.2,
188.596,11.18,
188.606,11.18,
188.616,11.18,
188.626,11.18,
188.636,11.15,
188.616,11.18,15.05
188.626,11.18,14.97
188.636,11.15,14.99
188.646,,14.99
188.656,,14.95
188.666,,14.97
188.676,,14.93
188.686,,14.97
188.774,11.08,
188.784,11.11,
188.794,11.09,
188.804,11.06,
188.814,11.04,
188.824,11.09,
188.834,11.04,
188.844,11.06,
188.827,,14.87
188.837,,14.83
188.847,,14.87
188.857,,14.83
188.867,,14.81
188.877,,14.81
188.887,,14.81
188.897,,14.79
188.986,11.39,
188.996,11.39,
189.006,11.43,
189.016,11.43,
189.026,11.52,
189.036,11.57,
189.046,11.64,
189.056,11.7,
189.038,,15.13
189.048,,15.29
189.058,,15.27
189.068,,15.35
189.078,,15.45
189.088,,15.47
189.098,,15.49
189.108,,15.47
189.194,11.45,
189.204,11.43,
189.214,11.38,
189.224,11.36,
189.234,11.32,
189.244,11.32,
189.254,11.29,
189.264,11.31,
189.249,,15.11
189.259,,15.07
189.269,,15.09
189.279,,15.11
189.289,,15.19
189.299,,15.19
189.309,,15.19
189.319,,15.23
189.406,11.2,
189.416,11.22,
189.426,11.25,
189.436,11.27,
189.446,11.31,
189.456,11.38,
189.466,11.41,
189.476,11.46,
189.464,,15.98
189.474,,16.21
189.484,,16.31
189.494,,16.52
189.504,,16.52
189.514,,16.67
189.524,,16.77
189.534,,16.84
189.671,,16.02
189.681,,16.04
189.691,,16.06
189.701,,16.06
189.711,,16.06
189.721,,15.98
189.731,,15.98
189.741,,15.98
189.723,11.5,
189.733,11.48,
189.743,11.43,
189.753,11.41,
189.763,11.39,
189.773,11.38,
189.783,11.34,
189.793,11.34,
189.885,,15.59
189.895,,15.57
189.905,,15.53
189.915,,15.57
189.925,,15.55
189.935,,15.59
189.945,,15.55
189.955,,15.57
189.931,11.09,
189.941,11.09,
189.951,11.15,
189.961,11.23,
189.971,11.25,
189.981,11.27,
189.991,11.34,
190.001,11.38,
190.093,,15.47
190.103,,15.37
190.113,,15.33
190.123,,15.29
190.133,,15.25
190.143,,15.21
190.153,,15.17
190.163,,15.13
190.149,11.36,
190.159,11.36,
190.169,11.36,
190.179,11.36,
190.189,11.32,
190.199,11.34,
190.209,11.31,
190.219,11.23,
190.306,,14.79
190.316,,14.79
190.326,,14.75
190.336,,14.77
190.346,,14.77
190.356,,14.71
190.366,,14.71
190.376,,14.71
190.567,10.8,
190.577,10.8,
190.587,10.75,
190.597,10.73,
190.607,10.71,
190.617,10.71,
190.627,10.75,
190.637,10.75,
190.614,,14.57
190.624,,14.53
190.634,,14.51
190.644,,14.53
190.654,,14.49
190.664,,14.49
190.674,,14.49
190.684,,14.47
190.775,10.52,
190.785,10.52,
190.795,10.5,
190.805,10.52,
190.815,10.47,
190.825,10.5,
190.835,10.47,
190.845,10.47,
190.827,,14.43
190.837,,14.41
190.847,,14.41
190.857,,14.41
190.867,,14.43
190.877,,14.43
190.887,,14.41
190.897,,14.41
190.985,10.28,
190.995,10.33,
191.005,10.26,
191.015,10.32,
191.025,10.28,
191.035,10.28,
191.045,10.28,
191.055,10.28,
191.037,,14.29
191.047,,14.29
191.057,,14.29
191.067,,14.24
191.077,,14.26
191.087,,14.26
191.097,,14.29
191.107,,14.29
191.199,10.23,
191.209,10.25,
191.219,10.23,
191.229,10.21,
191.239,10.21,
191.249,10.23,
191.259,10.25,
191.269,10.2,
191.249,10.23,14.31
191.259,10.25,14.28
191.269,10.2,14.29
191.279,,14.28
191.289,,14.26
191.299,,14.26
191.309,,14.24
191.319,,14.22
191.404,10.13,
191.414,10.11,
191.424,10.15,
191.434,10.15,
191.444,10.11,
191.454,10.13,
191.464,10.11,
191.474,10.15,
191.456,,14.08
191.466,,14.08
191.476,,14.06
191.486,,14.04
191.496,,14.06
191.506,,14.04
191.516,,14.0
191.526,,14.02
191.615,10.08,
191.625,10.04,
191.635,10.04,
191.645,10.08,
191.655,10.08,
191.665,10.08,
191.675,10.08,
191.685,10.06,
191.662,,14.0
191.672,,14.0
191.682,,14.02
191.692,,14.0
191.702,,13.98
191.712,,13.96
191.722,,13.95
191.732,,13.96
191.876,10.06,
191.886,10.04,
191.896,10.01,
191.906,10.03,
191.916,10.06,
191.926,10.04,
191.936,10.03,
191.946,10.04,
191.927,,13.96
191.937,,13.95
191.947,,13.95
191.957,,13.91
191.967,,13.93
191.977,,13.93
191.987,,13.93
191.997,,13.93
192.081,10.04,
192.091,10.01,
192.101,10.03,
192.111,10.03,
192.121,10.08,
192.131,10.06,
192.141,10.04,
192.151,10.08,
192.135,,13.93
192.145,,13.89
192.155,,13.93
192.165,,13.91
192.175,,13.91
192.185,,13.89
192.195,,13.89
192.205,,13.89
192.345,,13.87
192.355,,13.87
192.365,,13.89
192.375,,13.83
192.385,,13.83
192.395,,13.85
192.405,,13.85
192.415,,13.85
192.503,10.08,
192.513,10.04,
192.523,10.06,
192.533,10.04,
192.543,10.04,
192.553,10.06,
192.563,10.04,
192.573,10.01,
192.553,10.06,13.81
192.563,10.04,13.83
192.573,10.01,13.79
192.583,,13.81
192.593,,13.79
192.603,,13.81
192.613,,13.79
192.623,,13.75
192.763,,13.75
192.773,,13.75
192.783,,13.77
192.793,,13.81
192.803,,13.75
192.813,,13.75
192.823,,13.75
192.833,,13.79
192.816,10.01,
192.826,10.01,
192.836,10.01,
192.846,10.03,
192.856,10.04,
192.866,10.03,
192.876,10.01,
192.886,10.01,
193.03,,13.75
193.04,,13.73
193.05,,13.75
193.06,,13.71
193.07,,13.73
193.08,,13.73
193.09,,13.73
193.1,,13.75
193.079,9.99,
193.089,9.96,
193.099,9.98,
193.109,9.98,
193.119,9.96,
193.129,9.94,
193.139,9.94,
193.149,9.98,
193.236,,13.7
193.246,,13.66
193.256,,13.68
193.266,,13.71
193.276,,13.73
193.286,,13.68
193.296,,13.71
193.306,,13.7
193.292,9.94,
193.302,9.94,
193.312,9.91,
193.322,9.93,
193.332,9.94,
193.342,9.93,
193.352,9.91,
193.362,9.93,
193.449,,13.7
193.459,,13.71
193.469,,13.68
193.479,,13.68
193.489,,13.7
193.499,,13.7
193.509,,13.71
193.519,,13.71
193.499,9.94,13.7
193.509,9.93,13.71
193.519,9.91,13.71
193.529,9.93,
193.539,9.89,
193.549,9.91,
193.559,9.88,
193.569,9.88,
193.657,,13.66
193.667,,13.66
193.677,,13.7
193.687,,13.7
193.697,,13.7
193.707,,13.68
193.717,,13.68
193.727,,13.7
193.71,9.89,
193.72,9.89,
193.73,9.88,
193.74,9.91,
193.75,9.88,
193.76,9.91,
193.77,9.91,
193.78,9.91,
193.866,,13.77
193.876,,13.79
193.886,,13.83
193.896,,13.81
193.906,,13.77
193.916,,13.77
193.926,,13.79
193.936,,13.79
193.919,9.94,
193.929,9.94,
193.939,9.94,
193.949,9.93,
193.959,9.91,
193.969,9.91,
193.979,9.91,
193.989,9.91,
194.076,,13.68
194.086,,13.73
194.096,,13.7
194.106,,13.71
194.116,,13.73
194.126,,13.71
194.136,,13.7
194.146,,13.7
194.131,9.86,
194.141,9.86,
194.151,9.86,
194.161,9.84,
194.171,9.82,
194.181,9.84,
194.191,9.88,
194.201,9.88,
194.287,,13.68
194.297,,13.66
194.307,,13.68
194.317,,13.66
194.327,,13.66
194.337,,13.64
194.347,,13.66
194.357,,13.64
194.341,9.84,
194.351,9.84,
194.361,9.82,
194.371,9.81,
194.381,9.79,
194.391,9.82,
194.401,9.81,
194.411,9.79,
194.5,,13.62
194.51,,13.62
194.52,,13.66
194.53,,13.62
194.54,,13.64
194.55,,13.64
194.56,,13.64
194.57,,13.64
194.551,9.79,
194.561,9.79,
194.571,9.81,
194.581,9.82,
194.591,9.79,
194.601,9.79,
194.611,9.79,
194.621,9.79,
194.707,,13.6
194.717,,13.64
194.727,,13.6
194.737,,13.6
194.747,,13.58
194.757,,13.6
194.767,,13.6
194.777,,13.6
194.758,9.74,
194.768,9.76,
194.778,9.77,
194.788,9.76,
194.798,9.77,
194.808,9.76,
194.818,9.77,
194.828,9.77,
194.918,,13.6
194.928,,13.62
194.938,,13.6
194.948,,13.6
194.958,,13.54
194.968,,13.6
194.978,,13.62
194.988,,13.62
195.127,9.79,
195.137,9.76,
195.147,9.76,
195.157,9.76,
195.167,9.76,
195.177,9.74,
195.187,9.76,
195.197,9.76,
195.178,,13.56
195.188,,13.56
195.198,,13.56
195.208,,13.52
195.218,,13.56
195.228,,13.54
195.238,,13.52
195.248,,13.58
195.339,9.77,
195.349,9.76,
195.359,9.79,
195.369,9.76,
195.379,9.79,
195.389,9.76,
195.399,9.74,
195.409,9.76,
195.39,,13.52
195.4,,13.54
195.41,,13.52
195.42,,13.52
195.43,,13.5
195.44,,13.52
195.45,,13.5
195.46,,13.49
195.557,9.77,
195.567,9.74,
195.577,9.76,
195.587,9.76,
195.597,9.76,
