timestamp_s,left_knee_ohms,right_knee_ohms
38.283,11.36,
38.293,11.38,
38.303,11.43,
38.313,11.55,
38.303,11.43,17.28
38.313,11.55,17.41
38.323,,17.67
38.333,,17.5
38.343,,17.63
38.353,,17.69
38.363,,17.59
38.373,,18.0
38.482,12.2,
38.492,12.2,
38.502,12.33,
38.512,12.49,
38.522,12.49,
38.532,12.55,
38.542,12.72,
38.552,12.73,
38.544,,17.2
38.554,,17.28
38.564,,17.33
38.574,,17.28
38.584,,16.92
38.594,,16.84
38.604,,16.81
38.614,,17.07
38.723,15.45,
38.733,15.57,
38.743,15.33,
38.753,15.43,
38.763,15.84,
38.773,16.04,
38.783,16.65,
38.793,16.79,
38.783,16.65,17.05
38.793,16.79,17.24
38.803,,17.33
38.813,,17.37
38.823,,17.33
38.833,,17.35
38.843,,17.24
38.853,,16.98
38.964,12.7,
38.974,12.68,
38.984,12.61,
38.994,12.61,
39.004,12.59,
39.014,12.55,
39.024,12.51,
39.034,12.48,
39.023,,15.71
39.033,,15.77
39.043,,15.75
39.053,,15.63
39.063,,15.73
39.073,,16.17
39.083,,16.1
39.093,,16.23
39.201,12.33,
39.211,12.31,
39.221,12.22,
39.231,12.17,
39.241,12.15,
39.251,12.31,
39.261,12.26,
39.271,12.24,
39.262,,16.23
39.272,,16.46
39.282,,16.33
39.292,,16.1
39.302,,15.98
39.312,,15.92
39.322,,15.81
39.332,,15.67
39.446,2.21,
39.456,2.17,
39.466,2.34,
39.476,2.32,
39.486,2.26,
39.496,2.71,
39.506,2.59,
39.516,3.16,
39.502,,14.87
39.512,,14.85
39.522,,14.89
39.532,,14.87
39.542,,14.83
39.552,,14.89
39.562,,14.87
39.572,,14.87
39.743,12.4,
39.753,12.46,
39.763,12.33,
39.773,12.24,
39.783,12.22,
39.793,12.17,
39.803,12.09,
39.813,12.11,
39.803,12.09,14.53
39.813,12.11,14.53
39.823,,14.49
39.833,,14.51
39.843,,14.51
39.853,,14.49
39.863,,14.45
39.873,,14.45
39.983,11.82,
39.993,11.86,
40.003,11.84,
40.013,11.88,
40.023,11.84,
40.033,11.79,
40.043,11.82,
40.053,11.79,
40.043,11.82,14.28
40.053,11.79,14.31
40.063,,14.28
40.073,,14.26
40.083,,14.26
40.093,,14.29
40.103,,14.28
40.113,,14.33
40.223,11.68,
40.233,11.64,
40.243,11.7,
40.253,11.71,
40.263,11.71,
40.273,11.73,
40.283,11.7,
40.293,11.73,
40.282,,14.22
40.292,,14.22
40.302,,14.18
40.312,,14.2
40.322,,14.28
40.332,,14.39
40.342,,14.57
40.352,,14.73
40.464,11.64,
40.474,11.64,
40.484,11.73,
40.494,11.68,
40.504,11.7,
40.514,11.79,
40.524,11.8,
40.534,11.8,
40.522,,15.77
40.532,,15.9
40.542,,16.69
40.552,,16.62
40.562,,16.5
40.572,,16.62
40.582,,16.98
40.592,,17.54
40.704,12.11,
40.714,12.04,
40.724,11.91,
40.734,11.84,
40.744,11.88,
40.754,11.86,
40.764,11.82,
40.774,11.82,
40.823,,18.78
40.833,,18.71
40.843,,18.76
40.853,,18.49
40.863,,18.38
40.873,,18.26
40.883,,18.35
40.893,,18.76
41.004,12.51,
41.014,12.9,
41.024,12.86,
41.034,12.85,
41.044,12.77,
41.054,12.9,
41.064,12.61,
