timestamp_s,left_knee_ohms,right_knee_ohms
77.686,,14.61
77.696,,14.61
77.706,,14.57
77.716,,14.59
77.726,,14.65
77.736,,14.65
77.746,,14.69
77.756,,14.75
77.79,11.01,
77.8,10.94,
77.81,10.94,
77.82,10.9,
77.83,10.9,
77.84,10.92,
77.85,10.87,
77.86,10.85,
77.948,,15.17
77.958,,15.25
77.968,,15.29
77.978,,15.29
77.988,,15.21
77.998,,15.21
78.008,,15.33
78.018,,15.45
78.003,11.11,
78.013,11.18,
78.023,11.23,
78.033,11.25,
78.043,11.25,
78.053,11.18,
78.063,11.15,
78.073,11.09,
78.158,,16.6
78.168,,16.73
78.178,,16.81
78.188,,16.86
78.198,,17.01
78.208,,17.24
78.218,,17.22
78.228,,17.22
78.208,11.34,17.24
78.218,11.46,17.22
78.228,11.54,17.22
78.238,11.66,
78.248,11.68,
78.258,11.68,
78.268,11.75,
78.278,11.84,
78.367,,16.33
78.377,,16.35
78.387,,16.42
78.397,,16.42
78.407,,16.37
78.417,,16.35
78.427,,16.33
78.437,,16.42
78.42,15.94,
78.43,16.25,
78.44,16.84,
78.45,17.22,
78.46,17.24,
78.47,17.54,
78.48,17.5,
78.49,17.76,
78.578,,15.57
78.588,,15.47
78.598,,15.47
78.608,,15.43
78.618,,15.45
78.628,,15.49
78.638,,15.51
78.648,,15.51
78.628,18.51,15.49
78.638,18.44,15.51
78.648,18.29,15.51
78.658,18.18,
78.668,17.91,
78.678,17.69,
78.688,17.59,
78.698,17.5,
78.787,,16.46
78.797,,16.44
78.807,,16.56
78.817,,16.75
78.827,,16.65
78.837,,16.67
78.847,,16.6
78.857,,16.69
78.838,16.31,
78.848,16.17,
78.858,15.94,
78.868,15.73,
78.878,15.67,
78.888,15.65,
78.898,15.77,
78.908,15.77,
78.998,,15.67
79.008,,15.57
79.018,,15.55
79.028,,15.63
79.038,,15.9
79.048,,16.04
79.058,,16.17
79.068,,16.33
79.048,15.19,16.04
79.058,15.05,16.17
79.068,14.81,16.33
79.078,14.79,
79.088,14.71,
79.098,14.69,
79.108,14.53,
79.118,14.28,
79.208,,20.6
79.218,,20.63
79.228,,20.77
79.238,,20.84
79.248,,20.79
79.258,,20.65
79.268,,20.46
79.278,,20.34
79.259,12.73,
79.269,12.59,
79.279,12.44,
79.289,12.38,
79.299,12.33,
79.309,12.26,
79.319,12.29,
79.329,12.29,
79.417,,18.85
79.427,,18.89
79.437,,19.05
79.447,,19.0
79.457,,18.98
79.467,,18.96
79.477,,18.78
79.487,,18.58
79.521,12.79,
79.531,12.72,
79.541,12.62,
79.551,12.53,
79.561,12.49,
79.571,12.44,
79.581,12.37,
79.591,12.37,
79.679,,16.6
79.689,,16.71
79.699,,16.62
79.709,,16.56
79.719,,16.31
79.729,,16.14
79.739,,16.0
79.749,,15.9
79.733,14.51,
79.743,14.37,
79.753,14.35,
79.763,14.41,
79.773,14.51,
79.783,14.85,
79.793,14.89,
79.803,14.89,
79.889,,15.73
79.899,,15.71
79.909,,15.61
79.919,,15.55
79.929,,15.47
79.939,,15.57
79.949,,15.61
79.959,,15.84
79.943,13.81,
79.953,13.89,
79.963,13.7,
79.973,13.68,
79.983,13.73,
79.993,13.54,
80.003,13.54,
80.013,13.2,
80.098,,15.05
80.108,,15.03
80.118,,14.99
80.128,,15.05
80.138,,15.05
80.148,,15.03
80.158,,15.03
80.168,,15.07
80.153,12.68,
80.163,12.55,
80.173,12.53,
80.183,12.4,
80.193,12.22,
80.203,12.2,
80.213,12.17,
80.223,12.15,
80.312,,14.75
80.322,,14.71
80.332,,14.71
80.342,,14.71
80.352,,14.71
80.362,,14.69
80.372,,14.65
80.382,,14.63
80.363,10.92,
80.373,10.92,
80.383,10.88,
80.393,10.85,
80.403,10.85,
80.413,10.81,
80.423,10.75,
80.433,10.78,
80.521,,14.37
80.531,,14.39
80.541,,14.41
80.551,,14.45
80.561,,14.49
80.571,,14.45
80.581,,14.47
80.591,,14.55
80.677,10.66,
80.687,10.64,
80.697,10.64,
80.707,10.62,
80.717,10.64,
80.727,10.57,
80.737,10.59,
80.747,10.57,
80.731,,15.11
80.741,,15.19
80.751,,15.17
80.761,,15.25
80.771,,15.19
80.781,,15.27
80.791,,15.31
80.801,,15.39
80.939,,14.71
80.949,,14.69
80.959,,14.69
80.969,,14.63
80.979,,14.61
80.989,,14.59
80.999,,14.55
81.009,,14.55
80.994,10.38,
81.004,10.44,
81.014,10.5,
81.024,10.49,
81.034,10.52,
81.044,10.56,
81.054,10.56,
81.064,10.61,
81.149,,14.26
81.159,,14.26
81.169,,14.2
81.179,,14.2
81.189,,14.22
81.199,,14.18
